,maker,specific_origin,ref,review_date,cocoa_percent,company_location,rating,bean_type,broad_origin
892,kallari (ecuatoriana),diego/ original micro,248,2008,85.0,ecuador,2.5,unknown,ecuador
1699,valrhona,guanaja,63,2006,70.0,france,4.0,"criollo, trinitario",south america
954,l'amourette,rugoso,1784,2016,80.0,u.s.a.,3.5,trinitario,nicaragua
29,aequare (gianduja),"los rios, quevedo, arriba",370,2009,55.0,ecuador,2.75,forastero (arriba),ecuador
533,devries,costa rica,166,2007,77.0,u.s.a.,3.5,trinitario,costa rica
1451,shark mountain,"belize, 2013",1335,2014,72.0,u.s.a.,3.25,"criollo, trinitario",belize
1453,shark's,"hilo, w/ added cocoa butter",721,2011,73.0,u.s.a.,2.5,unknown,hawaii
1013,malie kai (guittard),"o'ahu, n. shore, waialua estate w/ nibs",502,2010,55.0,u.s.a.,3.5,unknown,hawaii
402,chocolate makers,tres hombres,1530,2015,75.0,amsterdam,3.25,trinitario,dominican
734,glennmade,bahia,1672,2015,66.0,u.s.a.,3.0,"trinitario, forastero",brazil
509,dar,"duo, batch 002",1920,2016,70.0,u.s.a.,3.25,unknown,"ecuador, costa rica"
309,cacao sampaka,madagascar,508,2010,71.0,spain,3.5,trinitario,madagascar
452,coppeneur,grenada,470,2010,72.0,germany,3.25,trinitario,grenada
1765,zak's,"belize, batch 2",1578,2015,70.0,u.s.a.,3.5,trinitario,belize
12,a. morin,brazil,1011,2013,70.0,france,3.25,unknown,brazil
786,harper macaw,"tome acu e., amazon rainforest",1700,2015,77.0,u.s.a.,3.5,unknown,brazil
834,hotel chocolat (coppeneur),"chanchamayo, pichanadi, 2012, 60hr c.",1109,2013,100.0,u.k.,2.75,unknown,peru
610,el rey,san joaquin,1662,2015,70.0,venezuela,3.75,unknown,venezuela
1582,stone grindz,"ecuador, midnight dark",1291,2014,84.0,u.s.a.,3.5,unknown,ecuador
923,l.a. burdick (felchlin),venzuela,597,2010,71.0,u.s.a.,3.0,unknown,venezuela
388,chocolarder,peru + nibs,1482,2015,65.0,u.k.,2.75,criollo,peru
51,altus aka cao artisan,bolivia,1129,2013,80.0,u.s.a.,3.25,unknown,bolivia
218,blue bandana,zorzal reserva,1756,2016,75.0,u.s.a.,3.0,unknown,dominican
185,beschle (felchlin),"indigena amazonia, grand cru, quizas",636,2011,72.0,switzerland,3.5,unknown,venezuela
922,l.a. burdick (felchlin),dominican republic,576,2010,74.0,u.s.a.,3.75,unknown,dominican
197,bittersweet origins,2009 hapa nibby,502,2010,70.0,u.s.a.,3.75,blend,dominican
128,artisan du chocolat,ba ria vung tau province,600,2010,72.0,u.k.,3.25,trinitario,vietnam
747,guido castagna,lacri blend,355,2009,76.0,italy,3.0,unknown,venezuela
1648,terroir,oko caribe,1554,2015,70.0,u.s.a.,3.5,unknown,dominican
32,akesson's (pralus),"bali (west), sukrama family, melaya area",636,2011,75.0,switzerland,3.75,trinitario,indonesia
175,belyzium,belize south,1768,2016,83.0,germany,3.5,trinitario,belize
896,kallari (ecuatoriana),cacao nacional w.f.,269,2008,85.0,ecuador,3.0,unknown,ecuador
757,guittard,trinidad,552,2010,65.0,u.s.a.,3.0,trinitario,trinidad
113,arete,nacional,1534,2015,68.0,u.s.a.,3.5,forastero (nacional),peru
1491,"smooth chocolator, the","chuao, batch 3",1666,2015,70.0,australia,3.75,trinitario,venezuela
1618,taza,belize,1271,2014,68.0,u.s.a.,3.0,trinitario,belize
480,damson,crayfish bay aka non pariel estate,1666,2015,70.0,u.k.,2.25,unknown,grenada
75,amedei,"piura, blanco de criollo",979,2012,70.0,italy,3.75,unknown,peru
1025,manoa,"hamakua, hawaiian crown, #176",1007,2012,72.0,u.s.a.,2.75,unknown,hawaii
92,amma,"monte alegre, 3 diff. plantations",572,2010,60.0,brazil,4.0,forastero (parazinho),brazil
728,georgia ramon,akesson p.,1642,2015,65.0,germany,3.25,trinitario,madagascar
1141,moho,toledo district,1030,2013,72.0,u.s.a.,3.0,trinitario,belize
780,hachez,arriba,166,2007,77.0,germany,2.5,forastero (arriba),ecuador
1016,mana,ecuador,1446,2015,74.0,u.s.a.,2.5,unknown,ecuador
211,black mountain,matiguas,256,2008,70.0,u.s.a.,3.0,unknown,nicaragua
984,luker,selva,552,2010,46.0,colombia,2.75,unknown,"colombia, ecuador"
705,friis holm,"rugoso, bad fermentation",1912,2016,70.0,denmark,3.5,unknown,nicaragua
1087,matale,"somia, 2013",1177,2013,68.0,australia,4.0,trinitario,madagascar
395,chocolate con amor,uganda,1760,2016,70.0,u.s.a.,2.75,unknown,uganda
1700,valrhona,gran couva 2005 p.,75,2006,64.0,france,2.5,trinitario,trinidad
1165,na�ve,nicaragua,1379,2014,70.0,lithuania,3.25,criollo,nicaragua
1303,pitch dark,"camino verde p., balao, guayas, ""fruity""",1319,2014,73.0,u.s.a.,3.25,unknown,ecuador
1779,zotter,"bocas del toro, cocabo co-op",801,2012,72.0,austria,3.5,unknown,panama
91,amma,"monte alegre, 3 diff. plantations",572,2010,75.0,brazil,3.75,forastero (parazinho),brazil
1466,sirene,"somia plantation, 2012",1502,2015,100.0,canada,3.0,trinitario,madagascar
24,acalli,"tumbes, norandino",1470,2015,70.0,u.s.a.,3.75,criollo,peru
1501,solstice,bundibugyo,1335,2014,70.0,u.s.a.,3.0,"forastero, trinitario",uganda
80,amedei,jamaica,123,2007,70.0,italy,3.0,trinitario,jamaica
568,domori,granella,135,2007,60.0,italy,3.25,trinitario,venezuela
929,la chocolaterie nanairo,"belize, 2014 harvest, batch 9",1892,2016,70.0,japan,3.0,"trinitario, criollo",belize
466,cravve,new ireland,1283,2014,70.0,australia,2.5,forastero,papua new guinea
1772,zart pralinen,"san juan estate, gran couva",1880,2016,78.0,austria,3.5,trinitario,trinidad
1104,mesocacao,honduras,1347,2014,80.0,honduras,3.25,unknown,honduras
506,danta,las acacias e.,423,2009,60.0,guatemala,3.25,criollo,guatemala
1757,woodblock,la red,769,2011,70.0,u.s.a.,3.5,unknown,dominican
243,bonnat,"maracaibo, el rosario",48,2006,75.0,france,4.0,criollo,venezuela
612,el rey,"rio caribe, macuro",439,2009,70.0,venezuela,3.0,trinitario,venezuela
1556,soul,dominican republic,1932,2017,70.0,canada,3.25,unknown,dominican
656,forteza (cortes),puerto rico,1776,2016,80.0,puerto rico,2.75,unknown,dominican
1617,tan ban skrati,"paramaribo, batch 20160043-01",1868,2016,70.0,suriname,3.25,trinitario,suriname
434,claudio corallo,terreiro velho p.,470,2010,73.5,sao tome,3.75,forastero,sao tome & principe
868,indaphoria,"conacado, manifesto",907,2012,70.0,u.s.a.,2.75,unknown,dominican
183,beschle (felchlin),madagascar,636,2011,64.0,switzerland,3.0,trinitario,madagascar
1687,valrhona,"porcelana, pedegral",757,2011,64.0,france,4.0,criollo,venezuela
825,honest,"ecuador, w/ nibs",1327,2014,72.0,south africa,2.5,unknown,ecuador
1545,soma,"elvesia p., black science",682,2011,70.0,canada,3.75,forastero,dominican
1539,soma,eastern promises,967,2012,70.0,canada,3.5,blend,"mad., java, png"
424,choklat,ocumare,377,2009,80.0,canada,2.5,criollo,venezuela
313,cacao sampaka,venezuela,537,2010,71.0,spain,3.5,unknown,venezuela
99,arete,san juan,1724,2016,70.0,u.s.a.,3.5,trinitario,trinidad
819,holy cacao,gran couva,1466,2015,70.0,israel,3.5,trinitario,trinidad
162,beehive,"brazil, batch 20316",1784,2016,80.0,u.s.a.,2.75,unknown,brazil
970,lillie belle,"bolivia, wild thing",903,2012,68.0,u.s.a.,3.5,criollo,bolivia
18,a. morin,piura,1019,2013,70.0,france,3.25,unknown,peru
320,cacaosuyo (theobroma inversiones),piura,1173,2013,70.0,peru,3.25,unknown,peru
652,finca,dominican republic,1283,2014,70.0,u.s.a.,3.25,unknown,dominican
343,caoni (tulicorp),los rios,269,2008,55.0,ecuador,3.25,forastero (arriba),ecuador
1465,sirene,"esmeraldas, salazar farm",1860,2016,73.0,canada,3.75,unknown,ecuador
1460,silvio bessone,"trintade, sao tome",725,2011,65.0,italy,3.25,forastero,sao tome
361,castronovo,sierra nevada,1347,2014,72.0,u.s.a.,3.5,"criollo, trinitario",colombia
398,chocolate con amor,ocumare,1764,2016,80.0,u.s.a.,3.0,criollo (ocumare),venezuela
1635,tejas,capistrano,821,2012,70.0,u.s.a.,2.0,unknown,peru
1198,nugali,fazenda leolinda,1876,2016,70.0,brazil,3.5,trinitario (scavina),brazil
45,altus aka cao artisan,acopagro,1728,2016,60.0,u.s.a.,3.0,unknown,peru
1117,michel cluizel,los ancones p.,24,2006,67.0,france,4.0,unknown,dominican
1619,taza,alto beni,785,2011,87.0,u.s.a.,3.25,unknown,bolivia
64,amatller (simon coll),ecuador,327,2009,70.0,spain,2.75,unknown,ecuador
112,arete,fazenda camboa,1534,2015,70.0,u.s.a.,3.5,unknown,brazil
1299,pitch dark,nicalizo,1510,2015,80.0,u.s.a.,2.75,trinitario,nicaragua
806,hexx,peru,1550,2015,70.0,u.s.a.,3.25,unknown,peru
234,bonnat,jamaique,761,2011,75.0,france,3.25,trinitario,jamaica
626,escazu,rio caribe,903,2012,70.0,u.s.a.,2.75,trinitario,venezuela
1161,nahua,"costa rica, oscuro",1049,2013,70.0,costa rica,3.0,unknown,costa rica
548,doble & bignall,puerto cabello,1688,2015,85.0,u.k.,3.0,unknown,venezuela
1193,nuance,"ghana, 2013",1454,2015,70.0,u.s.a.,3.75,forastero,ghana
269,bright,marabel farms,1231,2014,70.0,australia,3.5,unknown,dominican
635,ethel's artisan (mars),"venezuela, trinidad",672,2011,62.0,u.s.a.,2.5,unknown,venezuela
888,kakao,vanuatu,387,2009,65.0,germany,3.75,trinitario,vanuatu
34,akesson's (pralus),"monte alegre, d. badero",508,2010,75.0,switzerland,2.75,forastero,brazil
1790,zotter,peru,647,2011,70.0,austria,3.75,unknown,peru
1211,ohiyo,tanzania,1598,2015,70.0,u.s.a.,3.0,unknown,tanzania
287,cacao barry,venezuela,141,2007,72.0,france,2.0,unknown,venezuela
1004,madre,"chiapas, triple cacao",607,2010,72.0,u.s.a.,2.75,unknown,mexico
1463,sirene,wild bolivia,1788,2016,73.0,canada,3.5,unknown,bolivia
1214,olive and sinclair,ghana prototype,486,2010,72.0,u.s.a.,3.0,forastero,ghana
199,bittersweet origins,"sambirano, 2009",565,2010,70.0,u.s.a.,3.0,trinitario,madagascar
1612,tabal,peru,1105,2013,70.0,u.s.a.,3.0,unknown,peru
1301,pitch dark,akesson estate,1311,2014,73.0,u.s.a.,3.25,trinitario,madagascar
490,dandelion,"mantuano, 2012",1085,2013,70.0,u.s.a.,3.5,unknown,venezuela
1338,pralus,"djakarta, java and ghana",99,2006,75.0,france,3.5,"criollo, forastero","indonesia, ghana"
153,bar au chocolat,duarte province,983,2012,70.0,u.s.a.,3.25,unknown,dominican
328,c-amaro,dominican republic,1442,2014,72.0,italy,3.0,unknown,dominican
855,hummingbird,amazonas,1097,2013,70.0,canada,3.75,forastero,venezuela
1670,twenty-four blackbirds,"cedeno, lot 271",1700,2015,75.0,u.s.a.,3.5,unknown,ecuador
1499,solomons gold,solomon island,1792,2016,70.0,new zealand,3.25,unknown,solomon islands
1387,rogue,"la masica, batch 1, fhia research center",1748,2016,75.0,u.s.a.,3.75,unknown,honduras
1550,soma,conacado,387,2009,70.0,canada,3.0,trinitario,dominican
816,holy cacao,maranon,1872,2016,70.0,israel,2.75,unknown,peru
1169,nathan miller,peru,1403,2014,72.0,u.s.a.,2.25,unknown,peru
1523,soma,java,1030,2013,70.0,canada,3.25,criollo,indonesia
941,la pepa de oro,vinces,713,2011,60.0,ecuador,3.25,unknown,ecuador
745,guido castagna,ghana,355,2009,64.0,italy,3.0,forastero,ghana
1489,"smooth chocolator, the","papua new guinea, triple roast, batch 1",1662,2015,65.0,australia,3.5,unknown,papua new guinea
1786,zotter,el ceibo coop,879,2012,90.0,austria,3.25,unknown,bolivia
1192,nova monda,"punta galera, cacao nacional, gold label",935,2012,80.0,nicaragua,3.25,forastero (nacional),ecuador
338,cao,brazil,1808,2016,70.0,u.s.a.,3.25,trinitario,brazil
264,brazen,ambolikapiky p.,1518,2015,80.0,u.s.a.,2.75,unknown,madagascar
170,bellflower,"kakao kamili, kilombero valley",1800,2016,70.0,u.s.a.,3.5,"criollo, trinitario",tanzania
1386,rococo (grenada chocolate co.),"gru grococo, st. andrews",923,2012,66.0,u.k.,3.5,trinitario,grenada
1190,nova monda,"la patriota, cacao indio, purple label",931,2012,70.0,nicaragua,3.0,unknown,nicaragua
1039,map chocolate,"san juan estate, cherry blossoms at night",1606,2015,70.0,u.s.a.,2.75,trinitario,trinidad
810,hogarth,gran blanco,1712,2016,66.0,new zealand,3.5,criollo,peru
1313,potomac,"upala, batch 12",607,2010,82.0,u.s.a.,3.75,matina,costa rica
1151,montecristi,manabi,1654,2015,70.0,ecuador,3.25,unknown,ecuador
1771,zart pralinen,"kakao kamili, kilombero valley",1824,2016,70.0,austria,3.5,"criollo, trinitario",tanzania
860,idilio (felchlin),"ocumare, h. cata, 48hr c.",733,2011,72.0,switzerland,3.75,criollo,venezuela
365,castronovo,conacado,1101,2013,73.0,u.s.a.,3.5,trinitario,dominican
942,laia aka chat-noir,"madagascar, batch 59/100",1590,2015,75.0,france,2.75,trinitario,madagascar
721,fruition,maranon,1359,2014,76.0,u.s.a.,3.0,forastero (nacional),peru
1586,strita supreme,"samar, east visayas region",943,2012,75.0,u.s.a.,2.75,unknown,philippines
1710,vao vao (chocolaterie robert),madagascar,404,2009,64.0,madagascar,3.25,trinitario,madagascar
804,hexx,venezuela,1546,2015,70.0,u.s.a.,3.0,unknown,venezuela
566,domori,porcelana,111,2007,70.0,italy,4.0,criollo (porcelana),venezuela
576,domori,carenero superior,87,2006,70.0,italy,3.5,trinitario,venezuela
481,damson,o'payo,1666,2015,70.0,u.k.,2.75,unknown,nicaragua
1517,soma,maranon canyon,1259,2014,70.0,canada,3.75,forastero (nacional),peru
1217,olivia,carribean-raw,688,2011,76.0,canada,2.0,unknown,carribean
1728,violet sky,cahabon,1502,2015,77.0,u.s.a.,2.75,trinitario,guatemala
1419,salgado,carenero superior,288,2008,70.0,argentina,3.5,trinitario,venezuela
451,coppeneur,madagascar,959,2012,70.0,germany,3.5,trinitario,madagascar
1370,republica del cacao (aka confecta),el oro,147,2007,67.0,ecuador,3.5,forastero (arriba),ecuador
1438,scharffen berger,antilles (trin/gren/dr/ven),188,2007,75.0,u.s.a.,3.0,blend,carribean
542,dick taylor,belize,955,2012,72.0,u.s.a.,2.75,trinitario,belize
841,hotel chocolat (coppeneur),ecuador,552,2010,70.0,u.k.,2.75,unknown,ecuador
443,compania de chocolate (salgado),ocumare,292,2008,70.0,argentina,3.75,criollo,venezuela
305,cacao prieto,"dominican republicm, rustic",641,2011,72.0,u.s.a.,3.0,unknown,dominican
1158,mutari,"ambanja, batch 1 srb",1900,2016,68.0,u.s.a.,2.75,unknown,madagascar
28,adi,"vanua levu, ami-ami-ca",705,2011,72.0,fiji,3.5,trinitario,fiji
1688,valrhona,tainori,327,2009,64.0,france,3.75,unknown,dominican
1124,middlebury,"patanemo, epoch, donaldo",1490,2015,75.0,u.s.a.,3.75,unknown,venezuela
120,arete,camino verde,1602,2015,75.0,u.s.a.,3.5,unknown,ecuador
835,hotel chocolat (coppeneur),"los rios, h. iara, 2012, 120hr c.",1113,2013,100.0,u.k.,2.5,forastero (nacional),ecuador
940,la oroquidea,peruvian amazon,721,2011,72.0,peru,2.5,unknown,peru
389,chocolarder,dominican republic,1514,2015,80.0,u.k.,2.5,unknown,dominican
1697,valrhona,"porcelana, maracaibo, palmira p. 2006",162,2007,64.0,france,3.25,criollo (porcelana),venezuela
1636,tejas,"la bahia, w/ cane sugar",825,2012,70.0,u.s.a.,3.25,unknown,ecuador
1721,vintage plantations (tulicorp),"los rios, rancho grande 2004/2007",153,2007,90.0,u.s.a.,2.0,forastero (arriba),ecuador
433,chuao chocolatier (pralus),chuao,486,2010,77.0,u.s.a.,2.75,trinitario,venezuela
678,french broad,la red,785,2011,65.0,u.s.a.,3.5,unknown,dominican
1468,sirene,lachua w/ cane sugar,1614,2015,73.0,canada,3.0,unknown,guatemala
105,arete,rugoso,1904,2016,70.0,u.s.a.,3.75,unknown,nicaragua
991,madecasse (cinagra),madagascar,284,2008,70.0,madagascar,3.75,trinitario,madagascar
1575,starchild,"bolivar, arriba",1634,2015,70.0,u.s.a.,3.0,forastero (nacional),ecuador
672,french broad,matagalpa,1295,2014,68.0,u.s.a.,3.25,unknown,nicaragua
1651,terroir,madagascar,1323,2014,67.0,u.s.a.,3.75,trinitario,madagascar
800,hello cocoa,uganda,1458,2015,57.0,u.s.a.,2.75,forastero,uganda
1693,valrhona,manjari,129,2007,64.0,france,4.0,"criollo, trinitario",madagascar
1085,mast brothers,"dominican republic, coop",572,2010,70.0,u.s.a.,3.25,unknown,dominican
1077,mast brothers,"chuao, light roast",713,2011,81.0,u.s.a.,2.75,trinitario,venezuela
1548,soma,hispaniola,377,2009,70.0,canada,3.0,forastero,dominican
1454,shattel,tingo maria,1884,2016,70.0,peru,3.25,unknown,peru
1163,naive,"maranon canyon, fortunato no. 4",1133,2013,78.0,lithuania,3.75,forastero (nacional),peru
1431,scharffen berger,tome acu,336,2009,68.0,u.s.a.,3.75,unknown,brazil
364,castronovo,bolivia,1101,2013,70.0,u.s.a.,3.0,trinitario,bolivia
1316,pralus,chuao,486,2010,75.0,france,3.5,trinitario,venezuela
115,arete,oko caribe,1598,2015,70.0,u.s.a.,3.5,unknown,dominican
1073,mast brothers,chuao,999,2012,73.0,u.s.a.,2.75,trinitario,venezuela
1221,omanhene,ghana,693,2011,80.0,ghana,2.75,forastero,ghana
1762,zak's,"dominican republic, batch d2",1578,2015,70.0,u.s.a.,3.25,unknown,dominican
1105,mesocacao,honduras,1347,2014,70.0,honduras,3.5,unknown,honduras
752,guittard,jamaica,1053,2013,65.0,u.s.a.,3.25,trinitario,jamaica
104,arete,lachua,1904,2016,70.0,u.s.a.,3.5,unknown,guatemala
275,burnt fork bend,mindo,1299,2014,72.0,u.s.a.,3.5,unknown,ecuador
346,captain pembleton,kulili estate,1263,2014,70.0,new zealand,3.75,unknown,papua new guinea
1470,sirene,pisa,1650,2015,73.0,canada,3.25,unknown,haiti
1160,nahua,"costa rica, oscuro",1049,2013,58.0,costa rica,2.5,unknown,costa rica
65,amatller (simon coll),ecuador,464,2009,85.0,spain,2.75,unknown,ecuador
824,holy cacao,hispaniola w/ nibs,431,2009,75.0,israel,3.75,unknown,dominican
440,compania de chocolate (salgado),sur del lago,579,2010,70.0,argentina,3.25,unknown,venezuela
842,hotel chocolat (coppeneur),santo domingo,552,2010,70.0,u.k.,3.0,unknown,dominican
41,alexandre,"la dalia, matagalpa",1944,2017,70.0,netherlands,3.5,"criollo, trinitario",nicaragua
