iter	Passed	Remaining
0	1014	181531
1	1752	155974
2	1910	112697
3	2602	114530
4	3302	115600
5	3990	115723
6	4677	115612
7	5479	117813
8	6161	117059
9	6853	116509
10	7558	116123
11	8273	115825
12	8957	115072
13	9628	114170
14	10308	113394
15	10979	112535
16	11649	111694
17	12413	111723
18	13085	110884
19	13765	110123
20	14424	109217
21	14500	104143
22	15172	103570
23	15839	102956
24	16504	102328
25	17189	101812
26	17866	101245
27	18546	100679
28	19233	100148
29	19907	99539
30	20767	99820
31	21448	99200
32	22129	98576
33	22812	97959
34	23501	97364
35	24181	96727
36	24861	96085
37	24934	93177
38	24992	90357
39	25674	89860
40	26397	89495
41	27076	88964
42	27751	88418
43	28440	87906
44	29122	87366
45	29840	86925
46	30535	86408
47	31245	85925
48	31931	85366
49	32633	84847
50	33317	84274
51	34001	83696
52	34719	83195
53	35391	82581
54	36082	82004
55	36768	81416
56	37466	80848
57	38185	80320
58	38885	79747
59	39603	79206
60	40278	78576
61	40961	77959
62	41021	76182
63	41716	75611
64	42390	74998
65	43076	74405
66	43748	73784
67	44785	73764
68	45489	73178
69	46172	72557
70	46848	71921
71	47522	71283
72	48190	70634
73	48856	69984
74	49529	69341
75	50198	68693
76	50872	68049
77	51564	67430
78	52240	66788
79	52932	66165
80	53601	65512
81	54277	64867
82	54959	64229
83	55643	63592
84	56305	62930
85	56994	62296
86	57666	61643
87	58352	61005
88	59027	60353
89	59686	59686
90	60360	59033
91	61043	58389
92	61722	57740
93	62399	57088
94	63072	56433
95	63741	55773
96	64423	55125
97	65107	54477
98	65793	53831
99	66466	53173
100	67147	52521
101	67824	51866
102	68541	51240
103	69241	50599
104	69964	49974
105	70666	49333
106	71369	48691
107	72090	48060
108	72821	47434
109	73541	46799
110	74271	46168
111	74976	45521
112	75669	44866
113	76390	44226
114	77123	43591
115	77836	42944
116	78547	42295
117	79261	41645
118	79979	40997
119	80677	40338
120	81375	39678
121	82083	39023
122	82794	38368
123	83507	37713
124	84210	37052
125	84907	36388
126	85614	35728
127	86349	35079
128	87064	34420
129	87830	33780
130	88573	33130
131	89293	32470
132	90010	31808
133	90719	31142
134	91427	30475
135	92144	29811
136	92870	29149
137	93625	28494
138	94355	27831
139	95108	27173
140	95850	26511
141	96578	25844
142	97318	25180
143	98073	24518
144	98776	23842
145	99505	23172
146	100252	22505
147	100980	21833
148	101028	21019
149	101740	20348
150	102450	19675
151	103171	19005
152	103883	18332
153	104590	17658
154	105302	16984
155	106013	16309
156	106718	15633
157	107443	14960
158	108159	14285
159	108880	13610
160	109586	12932
161	110299	12255
162	111006	11577
163	111729	10900
164	112482	10225
165	113197	9546
166	113898	8866
167	114603	8185
168	115302	7504
169	116008	6824
170	116720	6143
171	117434	5462
172	118165	4781
173	118885	4099
174	119595	3417
175	120303	2734
176	121029	2051
177	121722	1367
178	122420	683
179	123144	0
