iter	Passed	Remaining
0	671	120279
1	1284	114319
2	1898	112040
3	2522	110991
4	3196	111889
5	3865	112098
6	4512	111516
7	5155	110841
8	5792	110060
9	6435	109405
10	7079	108764
11	7704	107865
12	8336	107090
13	8959	106237
14	9598	105580
15	10227	104829
16	10848	104022
17	11484	103359
18	12121	102715
19	12755	102040
20	13399	101452
21	14046	100882
22	14693	100300
23	15329	99639
24	15959	98950
25	16621	98449
26	17332	98217
27	17987	97646
28	18644	97079
29	19305	96525
30	19969	95984
31	20624	95390
32	21280	94794
33	21940	94213
34	22582	93557
35	23232	92930
36	23886	92319
37	24545	91722
38	24562	88804
39	25212	88244
40	25856	87659
41	26496	87059
42	27140	86470
43	27774	85849
44	28429	85288
45	29059	84651
46	29699	84043
47	30349	83461
48	30986	82841
49	31632	82245
50	32269	81623
51	32909	81008
52	33563	80426
53	34205	79811
54	34846	79197
55	35485	78574
56	36123	77951
57	36754	77310
58	37392	76686
59	38018	76036
60	38649	75399
61	39277	74754
62	39911	74121
63	40555	73505
64	41181	72859
65	41832	72256
66	42469	71627
67	43108	71002
68	43746	70374
69	44384	69746
70	45026	69124
71	45649	68474
72	46285	67842
73	46932	67227
74	47571	66599
75	48198	65956
76	48835	65325
77	49478	64703
78	50118	64075
79	50754	63443
80	51387	62806
81	52020	62170
82	52657	61538
83	53289	60902
84	53918	60261
85	54557	59632
86	55193	58999
87	55815	58352
88	56441	57710
89	57078	57078
90	57714	56445
91	58340	55804
92	58978	55173
93	59618	54544
94	60244	53902
95	60875	53266
96	61519	52639
97	62157	52009
98	62796	51378
99	63418	50734
100	64054	50102
101	64687	49466
102	65328	48837
103	66007	48236
104	66690	47636
105	67392	47047
106	68078	46446
107	68736	45824
108	69388	45197
109	70077	44595
110	70739	43973
111	71363	43327
112	71988	42683
113	72654	42063
114	73326	41445
115	73968	40810
116	74613	40176
117	74639	39217
118	75271	38584
119	75901	37950
120	76546	37324
121	77211	36707
122	77887	36094
123	78563	35480
124	79259	34874
125	79924	34253
126	80618	33643
127	81313	33033
128	81962	32403
129	82609	31772
130	83242	31136
131	83878	30501
132	84523	29869
133	85161	29234
134	85792	28597
135	86441	27966
136	87082	27332
137	87759	26709
138	88415	26079
139	89056	25444
140	89705	24812
141	90356	24180
142	91000	23545
143	91663	22915
144	92314	22282
145	92947	21645
146	93603	21013
147	94249	20378
148	94897	19743
149	95543	19108
150	96185	18472
151	96817	17834
152	97464	17199
153	98111	16564
154	98746	15926
155	99384	15289
156	100026	14653
157	100669	14017
158	101295	13378
159	101944	12743
160	102580	12105
161	103236	11470
162	103877	10833
163	104514	10196
164	105178	9561
165	105844	8926
166	106493	8289
167	107156	7654
168	107815	7017
169	108498	6382
170	109166	5745
171	109829	5108
172	110466	4469
173	111118	3831
174	111755	3193
175	112406	2554
176	113060	1916
177	113700	1277
178	114347	638
179	114993	0
